flow,losses
0.31328186924349904,6.268439911557419e-4
1.0052988548973398,6.473907912791893e-3
1.021989236219965,6.691130354482657e-3
1.7924531610157635,2.0649159223148222e-2
1.2542823363525128,1.0088419732577696e-2
0.5830335176473055,2.173606933582416e-3
0.9975559595948053,6.374357645763653e-3
0.740005520847404,3.5039334272448435e-3
0.767244452681778,3.7670723379629027e-3
1.1078637871557364,7.865698781273748e-3
0.908085114241216,5.280196576283353e-3
1.1966505228908189,9.180405806858798e-3
1.8673602755073513,2.2418019254983528e-2
3.2538320221303416,6.84474161452489e-2
2.6245271583427057,4.442034254351672e-2
2.0899098035145696,2.8105613188050615e-2
2.3644393021193517,3.6014718278703124e-2
0.16823245664355524,1.8064886687968058e-4
0.7465892560861712,3.566659192137518e-3
1.4324322206639588,1.3167552064364063e-2
1.6943149515478095,1.844245061072667e-2
0.4700233248959805,1.411957805889858e-3
2.343420767252341,3.537424673401771e-2
3.7625415712760386,9.170457479626985e-2
3.5508329244483714,8.160789338731743e-2
2.151915903737391,2.98056540978642e-2
1.3976263529463384,1.2533599640280524e-2
2.884355519411602,5.370676470891636e-2
2.880202365748803,5.355132609350147e-2
1.3584452628835955,1.1838772813078942e-2
0.8494736368116245,4.619431221446133e-3
1.1757376787393816,8.861552529862336e-3
2.6506252944226776,4.531291298491152e-2
1.9867638537533494,2.538907342045551e-2
1.4259169162618925,1.3047685930209935e-2
0.9206409720752907,5.427511426686227e-3
1.2327100536845947,9.743500366689242e-3
1.0399766173146465,6.929263400449184e-3
1.3137328070725072,1.1070189743581775e-2
1.6206157267429226,1.686776731582452e-2
1.7499911481008186,1.96789621528445e-2
1.3251252308197206,1.1263557431946522e-2
1.2946951572165728,1.0750813219786907e-2
1.914321700193872,2.3564317131295764e-2
2.0199862747643538,2.624885724746253e-2
1.7572027793767577,1.984208053298767e-2
1.759565868311957,1.989567822750255e-2
0.7635623373189543,3.7309430207721167e-3
0.6685808181490105,2.8593089256158223e-3
0.9467689203055122,5.740587258533287e-3
0.6171210035410098,2.4355561299757534e-3
1.007535852484692,6.502813168121053e-3
1.1359460628067901,8.270494677874541e-3
0.8532545537879273,4.6607189562565664e-3
0.3897657321288029,9.705990575600126e-4
0.3055950213953651,5.964403845373457e-4
0.33598810219306513,7.210732954826614e-4
0.3336376134703604,7.110124589914829e-4
0.18035123803470432,2.07623640586318e-4
0.4270073139674519,1.1651262668126651e-3
1.0531417721290783,7.106206017265332e-3
1.399586633132077,1.2568886111426465e-2
1.8213533411652225,2.132293558042761e-2
0.9654252887226219,5.969528947868614e-3
0.9445040892268631,5.713100272786872e-3
1.8817318570248422,2.2765762645861207e-2
1.4945245486334078,1.4337571773764433e-2
1.3827860592747299,1.2268081775589414e-2
0.8242625587580698,4.3488377324494e-3
1.1871827255959617,9.035350947236414e-3
0.9009657356698704,5.197570457476155e-3
0.4755029989623351,1.445105886024093e-3
1.1249217443808601,8.1103665234154e-3
2.073448573158521,2.7662743589270043e-2
1.4817707236732678,1.4093160737045094e-2
1.1428155402740925,8.371069122924173e-3
1.0620494436283983,7.2271979881197955e-3
0.7072824619591472,3.200449349744805e-3
0.7106959150913248,3.231462778654486e-3
0.8356347780169933,4.469882552242853e-3
0.99493867858739,6.340882464733766e-3
1.171461580493873,8.79705316067751e-3
1.1246602403332084,8.106587272946676e-3
0.9784762527828597,6.132355766953093e-3
0.8108456612842927,4.208173306085724e-3
1.18973752807504,9.074378383647634e-3
1.144906384007181,8.401801914201002e-3
1.2256207682159408,9.631466064834034e-3
1.3347369108814064,1.1428009161790787e-2
0.7664515844185118,3.7592778733024123e-3
2.330582517880052,3.4985895106162235e-2
3.074975090902428,6.108624539294007e-2
1.4184494973615498,1.2910981107983133e-2
2.0311435909295508,2.654084151988515e-2
2.0303688968214555,2.65205153697494e-2
1.0011085098662422,6.419936559182128e-3
0.19385359855417306,2.3988978810573163e-4
